beta,mcmc_magnetization,mcmc_std,pw_magnetization,pw_std,pw_coalescence_mean,pw_coalescence_max,mcmc_time,pw_time
0.0,-0.012222222222222221,0.07446517124397863,0.015277777777777779,0.08071105680982021,1.0,1,1.368218183517456,0.0648336410522461
0.1,0.01527777777777778,0.09201323375028825,0.02805555555555556,0.10487683840852517,4.92,8,1.3968260288238525,0.38163280487060547
0.2,-0.010833333333333337,0.1434605916550768,0.009166666666666665,0.14349608546301837,10.48,16,1.3638556003570557,0.8458924293518066
0.30000000000000004,0.02777777777777778,0.18876630008924453,-0.0022222222222222135,0.19277777777777777,26.24,64,1.3697857856750488,2.242415189743042
0.4,0.05527777777777778,0.3423490250289485,0.05972222222222224,0.3782906037217915,88.32,256,1.3685328960418701,7.513563632965088
0.5,-0.19277777777777774,0.6883490268141951,0.17555555555555555,0.6616405443112924,917.76,8192,1.3742997646331787,76.719642162323
0.6000000000000001,-0.9180555555555555,0.04960621683792459,-0.036805555555555564,0.5498013635412811,8445.6,10000,1.816286563873291,256.7185435295105
0.7000000000000001,-0.96875,0.02630652350677197,-0.022222222222222223,0.06248456599556663,10000.0,10000,2.0355796813964844,68.28817510604858
0.8,0.982638888888889,0.01908143286671401,-0.04166666666666666,0.09128709291752769,10000.0,10000,2.040616035461426,68.96135592460632
0.9,-0.9909722222222224,0.014078565925495343,-0.03611111111111111,0.07275444918727109,10000.0,10000,2.0357396602630615,73.92581725120544
1.0,-0.9965277777777779,0.0074470870102524974,0.008333333333333331,0.03986861137335368,10000.0,10000,2.039058208465576,82.22600245475769
